友情,親しくて支えになる友人をもつこと
独立,他人に頼らず自由であること
興奮,スリルと刺激に満ちた人生を送ること
エコロジー,環境と調和して生きること
勤勉,自分の課題について懸命かつ良く働くこと
コミットメント,息の長い有意義な誓いを立てること
変化,多彩な変化に富んだ人生を送ること
権威,他人の上に立ち、責任をもつ
柔軟性,新しい環境に容易に適応すること
受け入れられること,ありのままの自分を受け入れてもらうこと
世話,他人の世話をすること
魅力,外見的に人をひきつけること
正直さ,嘘をつかず正直であること
礼儀,他人に対して思いやり深く丁寧であること
家族,幸せな愛し合う家族を持つこと
神仏の意思,神・仏の意思を求め、それに従うこと
正確さ,自分の意見や信念が正確であること
チャレンジ,困難に立ち向かうこと
同情,他人の悩みを感じ、いたわること
創造性,新しい独創的なアイデアをもつこと
フィトネス,丈夫で均整のとれた身体をもつこと
面白さ,面白楽しく遊ぶこと
成長,変化と成長を続けること
希望,前向きで楽観的なものの見方を保つこと
達成,重要なことを成し遂げること
自律,独立して自己決定すること
貢献,長く残るような貢献を世の中にすること
頼りになること,信用と信頼がおけること
貞節,配偶者・パートナーに対して誠実に真心をつくすこと
気前よさ,他人に自分の持つものを与えること
健康,身体的に好調で健やかであること
謙虚,控えめでもったいぶらないこと
心のやすらぎ,個人的な平和を味わうこと
冒険,新しいエキサイティングな経験をすること
美,身の回りの美しさを観賞すること
心地よさ,快適で居心地の良い人生を送ること
協力,他人と協力して働くこと
任務,自分に与えられた役割と義務を果たすこと
名声,他人に認められ有名になること
寛大さ,他人を許せること
誠実さ,自分に正直に振舞うこと
役立つこと,他人の助けになること
ユーモア,自分と世の中について微笑ましいな部分を見つけること
親密さ,他人と心の奥底を分かち合うこと
正義,すべての人に対する公正で平等な扱いを促す
愛すること,他人に愛を与えること
一夫一婦制,一人だけの親密で愛し合う配偶者・パートナーをもつこと
整理,秩序だったきちんとした生活を送ること
権力,他人を支配すること
責任,責任のある判断を行い実行すること
自分を受け入れること,あるがままの自分を受け入れること
奉仕,他人に奉仕すること
スピリチュアリティ,霊的な成長や成熟、悟り、世俗の自分を超える何かに触れること
徳,道徳に従い有徳な生活をすること
家,先祖から代々続いてきた家すじ、家系、一門
知識,有意義な知識を学び、また他人に与える
熟練,日常の活動・業務に熟達・精通すること
決まりごとに従わない,権威や決まりごとを疑い、立ち向かうこと
情熱,信念や活動、人に対して強い感情をもつこと
目的,人生の意味と方向をもつこと
リスク,リスクを犯してチャンスを得ること
セルフコントロール,自分の振る舞いについて自ら律すること
性,質・量ともに満足のいくセックスライフ
安定性,だいたい落ち着いた安定した生活を送ること
富,金持ちになること
余暇,心身を休めて気晴らしをする
やわらかな心,何物にもとらわれず柔軟に今の瞬間を見つめ生きること
慈しみ,他人を労わり慈しむこと
快楽,いい気持になること
合理性,道理と論理に従うこと
ロマンス,エキサイティングで燃え上がるような恋をすること
自尊心,自分自身について良いと感じること
単純さ,無欲でシンプルな生活
寛大,自分と異なった人を受け入れ尊重すること
世界平和,世界の平和のために働くこと
愛される,親しい人に愛されること
中庸,過度を控え、適切さをもとめること
心の広さ,新しい経験や発想、方法を受け入れること
人気,たくさんの人に好かれること
現実主義,現実的・実際的に物事を考え、振る舞うこと
安全,安全で安定していること
自分を知ること,自分自身について深い、正直な理解をもつこと
孤独,他人から離れて一人だけの時間と場所をもつこと
伝統,過去の慣わしを尊重し従うこと
親孝行,子として親を大切にし、よく仕え、恩に報いること